scenario_id,time_s,x_ref_m,y_ref_m,z_ref_m,psi_ref_rad,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,phi_rad,theta_rad,psi_rad,phi_deg,theta_deg,psi_deg,p_rad_s,q_rad_s,r_rad_s,phi_ref_rad,theta_ref_rad,phi_ref_deg,theta_ref_deg,position_error_x_m,position_error_y_m,position_error_z_m,position_error_m,u_thrust_N,u_tau_x_Nm,u_tau_y_Nm,u_tau_z_Nm,omega_1_rad_s,omega_2_rad_s,omega_3_rad_s,omega_4_rad_s,omega_mean_rad_s,omega_max_rad_s,battery_voltage_V,total_current_A,total_power_W,cumulative_energy_J,controller_wall_time_s
0,7.21,3.0,3.0,3.0,0.0,3.067306055905431,0.5615337599810616,3.13223593548239,0.17773897242183337,0.8187579724201233,0.4258467153595119,-0.04809157184255186,-0.01784184121075175,-2.9535367404679042e-05,-2.7554440967284095,-1.022262200118658,-0.0016922518986563688,0.21068287728794488,0.004122437158080148,-0.0007914286748283769,-0.04588624873465083,-0.01770489751395489,-2.6290883901830067,-1.0144159042612788,-0.06730605590543082,2.4384662400189385,-0.13223593548238988,2.4429764737930952,11.98451399244119,-0.04022420372443039,0.0010711996990945146,0.00016556456066378668,541.7201323647072,541.394418807953,553.5836433177219,552.6553451922447,547.3383849206567,553.5836433177219,10.574984267838776,17.500524405374133,185.06777026576,1764.1986198365307,7.679197005927563e-05
0,7.22,3.0,3.0,3.0,0.0,3.0690751119634294,0.569737751603822,3.136428493682006,0.17607306025916694,0.8220099398061642,0.41266967867401966,-0.04599186027537191,-0.017797645154410655,-3.927426145191874e-05,-2.6351394857341983,-1.019729952619191,-0.0022502494246882847,0.20922512095333576,0.0047984145497244005,-0.0007384908813072472,-0.04522492136825394,-0.017651238833688316,-2.591197123211963,-1.011341488347762,-0.06907511196342941,2.430262248396178,-0.13642849368200594,2.435068520793768,12.014176701865532,-0.044952857088967554,0.0009068539259241947,0.00017294160999888178,541.7559675072885,541.3541280403687,554.9143148317409,554.0071778463403,548.0078970564346,554.9143148317409,10.573684808460104,17.543839717996537,185.503031508239,1766.053650151613,6.962497718632221e-05
0,7.23,3.0,3.0,3.0,0.0,3.0708275185923295,0.5779733948572662,3.140490318124065,0.17440918681384285,0.8250887533071367,0.3996998123911531,-0.04392695753384313,-0.017746589212073834,-4.86228197985605e-05,-2.5168292735396065,-1.0168046626042277,-0.0027858823624826562,0.20372368245748151,0.005486305032729225,-0.0006704032842911082,-0.04457613685599215,-0.017596886796439656,-2.5540245088459086,-1.008227346005476,-0.0708275185923295,2.422026605142734,-0.1404903181240651,2.4271314226666396,12.043836839760269,-0.04823414476725196,0.0007168243761125654,0.00017750281987013045,542.000167472214,541.525756347911,556.0281067813906,555.1595285294526,548.6783897827421,556.0281067813906,10.572385461734601,17.587151275513264,185.9381424585636,1767.9130315761986,6.595812737941742e-05
0,7.24,3.0,3.0,3.0,0.0,3.0725632993906364,0.5862389753481058,3.1444234678193363,0.17274799552525638,0.8279984024146557,0.3869345558530591,-0.041935880969846996,-0.017688641381344638,-5.741315695220941e-05,-2.4027489897352186,-1.0134844964715064,-0.00328953158188378,0.1944629788437125,0.006167848860644261,-0.0005887001508836566,-0.0439400759681802,-0.017541883063481103,-2.51758090446094,-1.0050758642494864,-0.07256329939063644,2.4137610246518943,-0.14442346781933635,2.419166355297622,12.07350658153219,-0.05003307806189565,0.0005066437392275338,0.00017912663103847483,542.4567696498075,541.9154991069648,556.922205608975,556.1084066453215,549.3507202527672,556.922205608975,10.571085694283937,17.630476857202108,186.37328168857323,1769.7767643930842,8.854200132191181e-05
0,7.25,3.0,3.0,3.0,0.0,3.0742824844695487,0.5945328349301916,3.1482299718945934,0.17109014277424955,0.83074610378735,0.3743704994265082,-0.040054391650221864,-0.017623952924415712,-6.549012618860343e-05,-2.2949475925217575,-1.009778120906265,-0.0037523078303861603,0.181809775002842,0.006824993105049591,-0.0004952152627999384,-0.04331663342036149,-0.017486273781885223,-2.4818602777020446,-1.001889687112288,-0.07428248446954866,2.4054671650698083,-0.14822997189459342,2.4111744636786074,12.103199206645332,-0.05035254497713603,0.00028241245936087774,0.00017778558286650112,543.1241894228557,542.5237107386283,557.5991826195375,556.8547479879397,550.0254576922403,557.5991826195375,10.569784924363404,17.673835854553186,186.80864377112965,1771.6448508307956,7.9666031524539e-05
0,7.26,3.0,3.0,3.0,0.0,3.075985110339143,0.6028534029393215,3.1519118299150666,0.16943624747062366,0.8333420798742066,0.3620051461906295,-0.038314093475716716,-0.01755298145338639,-7.270738012869159e-05,-2.195235852028291,-1.00571175515045,-0.004165826020827376,0.16622867285341095,0.007414783286904115,-0.00039123344563255695,-0.042705429204700024,-0.017430108169364276,-2.446840855724039,-0.9986716345610706,-0.0759851103391429,2.3971465970606785,-0.15191182991506658,2.4031568298513077,12.132928044949923,-0.049231846236789036,5.0621004813357383e-05,0.00017354663949679304,543.9954636600723,543.3450856111399,558.066706373586,557.4041704112159,550.7028565140035,558.066706373586,10.568482568020992,17.717247732633602,187.24442381564765,1773.517295068952,8.583301678299904e-05
0,7.2700000000000005,3.0,3.0,3.0,0.0,3.0776712191246447,0.6111992249296996,3.1554710359417575,0.16778680965650467,0.8357992767062494,0.3498398969072743,-0.03674127569396607,-0.01747646395620705,-7.893484203558294e-05,-2.1051200311908507,-1.0013276255031696,-0.004522633305170743,0.14831789802055245,0.007924522937112393,-0.0002794093042063634,-0.0421058243906797,-0.017373435478656028,-2.412486030504948,-0.9954245285698377,-0.0776712191246447,2.3888007750703,-0.15547103594175748,2.3951144449219077,12.162701799838214,-0.04674938326390209,-0.0001772745567229561,0.00016642471320427573,545.0568742825976,544.3691560869836,558.3381861329324,557.7668649068696,551.3827703523458,558.3381861329324,10.56717824397984,17.760725200672006,187.6807489378457,1775.3941025583306,6.491714157164097e-05
0,7.28,3.0,3.0,3.0,0.0,3.0793408576668813,0.6195689866426299,3.1589095961959583,0.16614227061698683,0.8381326990250257,0.3378757878325732,-0.03535605838425024,-0.01739525241183317,-8.407354283529152e-05,-2.0257529256356674,-0.9966745467628069,-0.004817059173174545,0.12871292995096337,0.008344150688709265,-0.0001625109830544038,-0.04151694005398929,-0.017316299760568223,-2.3787454433912263,-0.9921508930639571,-0.07934085766688126,2.38043101335737,-0.15890959619595835,2.387048185691289,12.19251284821889,-0.04303386642515013,-0.00039006671605389814,0.00015655980223183661,546.2872576501302,545.5773965969497,558.4337087330457,557.959330259957,552.0644233100206,558.4337087330457,10.565872286191151,17.804257126961623,188.1175069539851,1777.2752776278705,6.758305244147778e-05
0,7.29,3.0,3.0,3.0,0.0,3.0809940768825386,0.6279615319753072,3.1622295256249013,0.16450300284022518,0.840358881994906,0.32611353180604924,-0.03417212195623721,-0.017310286021158482,-8.805702087836216e-05,-1.9579183650987264,-0.9918063311766875,-0.005045295652825525,0.10806609702697986,0.008666454251778392,-4.333298890858692e-05,-0.04093769480659548,-0.017258739425085566,-2.34555713541255,-0.9888529287734438,-0.08099407688253857,2.3720384680246926,-0.16222952562490134,2.3789587960415512,12.222340895790751,-0.03825596774149229,-0.0005820689350470038,0.00014433934626386188,547.6604171489581,546.9436559931054,558.3784793672951,558.0038243736926,552.7465942207627,558.3784793672951,10.564565583704528,17.84781387651569,188.55440022420177,1779.1608216301127,6.462493911385536e-05
0,7.3,3.0,3.0,3.0,0.0,3.0826309310356543,0.636375875550218,3.165432844869819,0.16286930233343586,0.8424953424795287,0.3145535577040868,-0.03319663801727875,-0.017222561803773698,-9.085124754223044e-05,-1.9020272524136095,-0.9867801037594511,-0.005205393047668097,0.08702671337014914,0.008887189721750755,7.538776068385025e-05,-0.04036685288615314,-0.01720078929468397,-2.3128503026020613,-0.9855326308791995,-0.08263093103565433,2.3636241244497818,-0.16543284486981902,2.3708468737154953,12.25216442224854,-0.03260882343882277,-0.0007484750019041141,0.00013019778734874938,549.1472613006059,548.4384251596451,558.2006783398698,557.9256439170148,553.4280021792839,558.2006783398698,10.563259079278172,17.891364024060938,188.99111346783255,1781.050732764791,6.433320231735706e-05
